 #         z     rescaling_fact
           1   1.00000000    
           2   1.00000000    
           3   1.00000000    
           4   1.00000000    
           5   1.00000000    
           6   1.00000000    
           7   1.00000000    
           8   1.00000000    
           9   1.00000000    
          10   1.00000000    
          11   1.00000000    
          12   1.00000000    
          13   1.00000000    
          14   1.00000000    
          15   1.00000000    
          16   1.00000000    
          17   1.00000000    
          18   1.00000000    
          19   1.00000000    
          20   1.00000000    
          21   1.00000000    
          22   1.00000000    
          23   1.00000000    
          24   1.00000000    
          25   1.00000000    
          26   1.00000000    
          27   1.00000000    
          28   1.00000000    
          29   1.00000000    
          30   1.00000000    
          31   1.00000000    
          32   1.00000000    
          33   1.00000000    
          34   1.00000000    
          35   1.00000000    
          36   1.00000000    
          37   1.00000000    
          38   1.00000000    
          39   1.00000000    
          40   1.00000000    
          41   1.00000000    
          42   1.00000000    
          43   1.00000000    
          44   1.00000000    
          45   1.00000000    
          46   1.00000000    
          47  0.930180609    
          48  0.930180609    
          49  0.930180609    
          50  0.930180609    
          51  0.930180609    
          52  0.930180609    
          53  0.930180609    
          54  0.930180609    
          55  0.930180609    
          56  0.930180609    
          57  0.930180609    
          58   1.00000000    
          59   1.00000000    
          60   1.00000000    
          61   1.00000000    
          62   1.00000000    
          63   1.00000000    
          64   1.00000000    
          65   1.00000000    
          66   1.00000000    
          67   1.00000000    
          68   1.00000000    
          69   1.00000000    
          70   1.00000000    
          71   1.00000000    
          72   1.00000000    
          73   1.00000000    
          74   1.00000000    
          75   1.00000000    
          76   1.00000000    
          77   1.00000000    
          78   1.00000000    
          79   1.00000000    
          80   1.00000000    
          81   1.00000000    
          82   1.00000000    
          83   1.00000000    
          84   1.00000000    
          85   1.00000000    
          86   1.00000000    
          87   1.00000000    
          88   1.00000000    
